month,sr_type,complaint_count
1,311 INFORMATION ONLY CALL,366816
1,Abandoned Vehicle Complaint,22173
1,Aircraft Noise Complaint,130886
1,Alley Light Out Complaint,5057
1,Alley Pothole Complaint,3187
1,Alley Sewer Inspection Request,433
1,Animal In Trap Complaint,94
1,Bee/Wasp Removal,105
1,Bicycle Request/Complaint,283
1,Blue Recycling Cart,9521
1,Building Violation,9574
1,Buildings - Plumbing Violation,5175
1,Bungalow/Vintage Home Information Request,53
1,Business Complaints,2077
1,Cab Feedback,1004
1,Cable TV Complaint,179
1,Check for Leak,7976
1,City Vehicle Sticker Violation,1431
1,Clean Vacant Lot Request,904
1,Clean and Green Program Request,17
1,Commercial Fire Safety Inspection Request,106
1,Consumer Fraud Complaint,725
1,Consumer Retail Business Complaint,291
1,Coyote Interaction Complaint,1565
1,Dead Animal Pick-Up Request,3905
1,Dead Bird,197
1,Divvy Bike Parking Complaint,219
1,E-Scooter Parking Complaint,172
1,Finance Parking Code Enforcement Review,1415
1,Fly Dumping Complaint,3770
1,Garbage Cart Maintenance,19118
1,Graffiti Removal Request,45785
1,Home Buyer Program Info Request,206
1,Ice and Snow Removal Request,12468
1,Inaccurate Fuel Pump Complaint,41
1,Inaccurate Retail Scales Complaint,2
1,Inspect Public Way Request,2417
1,Lead Inspection Request,227
1,Licensed Pharmaceutical Representative Complaint,2
1,Liquor Establishment Complaint,142
1,Low Water Pressure Complaint,915
1,Missed Garbage Pick-Up Complaint,3690
1,No Air Conditioning,2
1,No Building Permit and Construction Violation,1933
1,No Solicitation Complaint,29
1,No Water Complaint,4572
1,Nuisance Animal Complaint,2058
1,Open Fire Hydrant Complaint,914
1,Outdated Merchandise Complaint,37
1,Paid Sick Leave Violation,87
1,Pavement Cave-In Inspection Request,26
1,Pet Wellness Check Request,2307
1,Petcoke Dust Complaint,1
1,Porch Inspection Request,198
1,Pothole in Street Complaint,27751
1,Protected Bike Lane - Debris Removal,96
1,Public Vehicle Complaint,107
1,Pushcart Food Vendor Complaint,33
1,Recycling Inspection Request,136
1,Recycling Pick Up,3943
1,Renters and Foreclosure Complaint,26
1,Report an Injured Animal,2631
1,Restaurant Complaint,1295
