sr_type,complaint_count,percentage
311 INFORMATION ONLY CALL,4184158,37.0
Aircraft Noise Complaint,1918574,16.96
Graffiti Removal Request,576163,5.09
Rodent Baiting/Rat Complaint,308726,2.73
Garbage Cart Maintenance,303778,2.69
Pothole in Street Complaint,287700,2.54
Street Light Out Complaint,282239,2.5
Abandoned Vehicle Complaint,269189,2.38
Tree Trim Request (NO LONGER BEING ACCEPTED),225630,2.0
Tree Debris Clean-Up Request,167420,1.48
Traffic Signal Out Complaint,145575,1.29
Building Violation,129510,1.15
Tree Emergency,124685,1.1
Blue Recycling Cart,119594,1.06
Weed Removal Request,117820,1.04
Sign Repair Request - All Other Signs,116383,1.03
Tree Removal Inspection,106462,0.94
Sanitation Code Violation,88689,0.78
Dead Animal Pick-Up Request,85728,0.76
Tree Planting Request,77800,0.69
Yard Waste Pick-Up Request,75627,0.67
Fly Dumping Complaint,73638,0.65
Stray Animal Complaint,69047,0.61
Water Lead Test Kit Request,65635,0.58
Check for Leak,59182,0.52
Water in Basement Complaint,58741,0.52
Sewer Cleaning Inspection Request,58394,0.52
Water On Street Complaint,55445,0.49
Alley Pothole Complaint,55204,0.49
Alley Light Out Complaint,53808,0.48
Report an Injured Animal,50922,0.45
Missed Garbage Pick-Up Complaint,50659,0.45
Sidewalk Inspection Request,49564,0.44
Inspect Public Way Request,45513,0.4
Buildings - Plumbing Violation,45131,0.4
Open Fire Hydrant Complaint,42411,0.38
Ice and Snow Removal Request,41867,0.37
Recycling Pick Up,39326,0.35
Vicious Animal Complaint,38117,0.34
Vacant/Abandoned Building Complaint,35082,0.31
Nuisance Animal Complaint,34402,0.3
Street Cleaning Request,31922,0.28
Finance Parking Code Enforcement Review,31514,0.28
Clean Vacant Lot Request,31000,0.27
No Building Permit and Construction Violation,30678,0.27
Sewer Cave-In Inspection Request,30495,0.27
Snow – Uncleared Sidewalk Complaint,30457,0.27
Sign Repair Request - Stop Sign,29437,0.26
Business Complaints,29269,0.26
Street Light Pole Damage Complaint,28306,0.25
No Water Complaint,22842,0.2
City Vehicle Sticker Violation,20680,0.18
Pet Wellness Check Request,18705,0.17
Cab Feedback,17506,0.15
Restaurant Complaint,16923,0.15
Snow - Object/Dibs Removal Request,15103,0.13
Shared Cost Sidewalk Program Request,13710,0.12
Sign Repair Request - One Way Sign,13581,0.12
E-Scooter Parking Complaint,13520,0.12
Low Water Pressure Complaint,12300,0.11
Coyote Interaction Complaint,9778,0.09
Vehicle Parked in Bike Lane Complaint,9257,0.08
Water Lead Test Visit Request,9070,0.08
Alley Sewer Inspection Request,8663,0.08
Consumer Fraud Complaint,8002,0.07
Divvy Bike Parking Complaint,7863,0.07
Wire Basket Request,6796,0.06
Street Light On During Day Complaint,6138,0.05
Street Light Pole Door Missing Complaint,5063,0.04
Bee/Wasp Removal,4970,0.04
Water Quality Concern,4589,0.04
Consumer Retail Business Complaint,4550,0.04
Dead Bird,4414,0.04
Bicycle Request/Complaint,4242,0.04
Sign Repair Request - Do Not Enter Sign,4141,0.04
Porch Inspection Request,3160,0.03
Viaduct Light Out Complaint,2428,0.02
Shared Housing/Vacation Rental Complaint,2358,0.02
Cable TV Complaint,2258,0.02
Recycling Inspection Request,2048,0.02
Sidewalk Café/Outdoor Dining Complaint,1947,0.02
Home Buyer Program Info Request,1899,0.02
Clean and Green Program Request,1856,0.02
Liquor Establishment Complaint,1752,0.02
Lead Inspection Request,1721,0.02
Public Vehicle Complaint,1684,0.01
Animal In Trap Complaint,1643,0.01
Commercial Fire Safety Inspection Request,1637,0.01
Protected Bike Lane - Debris Removal,1563,0.01
Paid Sick Leave Violation,1444,0.01
No Air Conditioning,1424,0.01
Wage Complaint,1372,0.01
Pushcart Food Vendor Complaint,1285,0.01
Ridesharing Complaint,1136,0.01
Tobacco - General Complaint,1089,0.01
Snow Removal - Protected Bike Lane or Bridge Sidewalk,932,0.01
Tobacco - Sale to Minors Complaint,793,0.01
Bungalow/Vintage Home Information Request,618,0.01
Inaccurate Fuel Pump Complaint,498,0.0
No Solicitation Complaint,367,0.0
