year,sr_type,complaint_count
2020,311 INFORMATION ONLY CALL,858475
2020,Abandoned Vehicle Complaint,33089
2020,Aircraft Noise Complaint,258734
2020,Alley Light Out Complaint,17148
2020,Alley Pothole Complaint,8647
2020,Alley Sewer Inspection Request,1681
2020,Animal In Trap Complaint,398
2020,Bee/Wasp Removal,1116
2020,Bicycle Request/Complaint,402
2020,Blue Recycling Cart,21296
2020,Building Violation,18372
2020,Buildings - Plumbing Violation,5556
2020,Bungalow/Vintage Home Information Request,92
2020,Business Complaints,13439
2020,Cab Feedback,1416
2020,Cable TV Complaint,520
2020,Check for Leak,9023
2020,City Vehicle Sticker Violation,1758
2020,Clean Vacant Lot Request,4997
2020,Clean and Green Program Request,135
2020,Commercial Fire Safety Inspection Request,351
2020,Consumer Fraud Complaint,1592
2020,Consumer Retail Business Complaint,1174
2020,Coyote Interaction Complaint,2504
2020,Dead Animal Pick-Up Request,12376
2020,Dead Bird,437
2020,Divvy Bike Parking Complaint,94
2020,E-Scooter,345
2020,Fly Dumping Complaint,10841
2020,Garbage Cart Maintenance,57769
2020,Graffiti Removal Request,110685
2020,Home Buyer Program Info Request,443
2020,Ice and Snow Removal Request,2119
2020,Inaccurate Fuel Pump Complaint,96
2020,Inaccurate Retail Scales Complaint,2
2020,Inspect Public Way Request,6946
2020,Lead Inspection Request,254
2020,Licensed Pharmaceutical Representative Complaint,4
2020,Liquor Establishment Complaint,326
2020,Low Water Pressure Complaint,1833
2020,Missed Garbage Pick-Up Complaint,7764
2020,No Building Permit and Construction Violation,5065
2020,No Solicitation Complaint,58
2020,No Water Complaint,2889
2020,Nuisance Animal Complaint,4772
2020,Open Fire Hydrant Complaint,7761
2020,Outdated Merchandise Complaint,47
2020,Paid Sick Leave Violation,570
2020,Pavement Cave-In Inspection Request,61
2020,Pet Wellness Check Request,2664
2020,Porch Inspection Request,501
2020,Pothole in Street Complaint,39967
2020,Protected Bike Lane - Debris Removal,101
2020,Public Vehicle Complaint,147
2020,Pushcart Food Vendor Complaint,119
2020,Recycling Inspection Request,265
2020,Recycling Pick Up,9650
2020,Renters and Foreclosure Complaint,28
2020,Report an Injured Animal,8366
2020,Restaurant Complaint,2933
2020,Ridesharing Complaint,161
2020,Rodent Baiting/Rat Complaint,54068
2020,Sanitation Code Violation,14965
2020,Sewer Cave-In Inspection Request,5308
2020,Sewer Cleaning Inspection Request,12122
2020,Shared Cost Sidewalk Program Request,2930
2020,Shared Housing/Vacation Rental Complaint,236
2020,Sidewalk Café/Outdoor Dining Complaint,271
2020,Sidewalk Inspection Request,6242
2020,Sign Repair Request - All Other Signs,32093
2020,Sign Repair Request - Do Not Enter Sign,811
2020,Sign Repair Request - One Way Sign,2629
2020,Sign Repair Request - Stop Sign,5186
2020,Smokeless Tobacco at Sports Event Complaint,3
2020,Snow - Object/Dibs Removal Request,355
2020,Snow Removal - Protected Bike Lane or Bridge Sidewalk,49
2020,Snow – Uncleared Sidewalk Complaint,5389
2020,Stray Animal Complaint,9470
2020,Street Cleaning Request,4610
2020,Street Light On During Day Complaint,2080
2020,Street Light Out Complaint,72481
2020,Street Light Pole Damage Complaint,4603
2020,Street Light Pole Door Missing Complaint,759
2020,Tobacco - General Complaint,226
2020,Tobacco - Sale to Minors Complaint,108
2020,Traffic Signal Out Complaint,21525
2020,Tree Debris Clean-Up Request,34209
2020,Tree Emergency,25453
2020,Tree Planting Request,5112
2020,Tree Removal Inspection,16046
2020,Tree Trim Request (NO LONGER BEING ACCEPTED),38034
2020,Vacant/Abandoned Building Complaint,6028
2020,Vehicle Parked in Bike Lane Complaint,1017
2020,Viaduct Light Out Complaint,587
2020,Vicious Animal Complaint,6021
2020,Wage Complaint,99
2020,Water Lead Test Kit Request,5991
2020,Water Lead Test Visit Request,399
2020,Water On Street Complaint,8650
2020,Water Quality Concern,881
2020,Water in Basement Complaint,6207
2020,Weed Removal Request,53532
2020,Wire Basket Request,840
2020,Yard Waste Pick-Up Request,10035
2021,311 INFORMATION ONLY CALL,656348
2021,Abandoned Vehicle Complaint,43363
2021,Aircraft Noise Complaint,317127
2021,Alley Light Out Complaint,8307
2021,Alley Pothole Complaint,7336
2021,Alley Sewer Inspection Request,1410
2021,Animal In Trap Complaint,273
2021,Bee/Wasp Removal,881
2021,Bicycle Request/Complaint,499
2021,Blue Recycling Cart,20903
2021,Building Violation,21348
2021,Buildings - Plumbing Violation,7044
2021,Bungalow/Vintage Home Information Request,112
2021,Business Complaints,4699
2021,Cab Feedback,1706
2021,Cable TV Complaint,482
2021,Check for Leak,9878
2021,City Vehicle Sticker Violation,2213
2021,Clean Vacant Lot Request,6031
2021,Clean and Green Program Request,596
2021,Commercial Fire Safety Inspection Request,191
2021,Consumer Fraud Complaint,1179
2021,Consumer Retail Business Complaint,541
2021,Coyote Interaction Complaint,1137
2021,Dead Animal Pick-Up Request,12951
2021,Dead Bird,526
2021,Divvy Bike Parking Complaint,964
2021,Fly Dumping Complaint,11304
2021,Garbage Cart Maintenance,54919
2021,Graffiti Removal Request,93720
2021,Home Buyer Program Info Request,452
2021,Ice and Snow Removal Request,19306
2021,Inaccurate Fuel Pump Complaint,71
2021,Inaccurate Retail Scales Complaint,5
2021,Inspect Public Way Request,7040
2021,Lead Inspection Request,191
2021,Licensed Pharmaceutical Representative Complaint,5
2021,Liquor Establishment Complaint,487
2021,Low Water Pressure Complaint,2271
2021,Missed Garbage Pick-Up Complaint,11236
2021,No Building Permit and Construction Violation,4591
2021,No Solicitation Complaint,31
2021,No Water Complaint,4121
2021,Nuisance Animal Complaint,5394
2021,Open Fire Hydrant Complaint,7346
2021,Outdated Merchandise Complaint,45
2021,Paid Sick Leave Violation,186
2021,Pavement Cave-In Inspection Request,89
2021,Pet Wellness Check Request,2714
2021,Petcoke Dust Complaint,1
2021,Porch Inspection Request,564
2021,Pothole in Street Complaint,38557
2021,Protected Bike Lane - Debris Removal,186
2021,Public Vehicle Complaint,143
2021,Pushcart Food Vendor Complaint,98
2021,Recycling Inspection Request,543
2021,Recycling Pick Up,10441
2021,Renters and Foreclosure Complaint,31
2021,Report an Injured Animal,7291
2021,Restaurant Complaint,2621
2021,Ridesharing Complaint,142
2021,Rodent Baiting/Rat Complaint,65897
2021,Sanitation Code Violation,18453
2021,Sewer Cave-In Inspection Request,5110
2021,Sewer Cleaning Inspection Request,8386
2021,Shared Cost Sidewalk Program Request,2364
2021,Shared Housing/Vacation Rental Complaint,259
2021,Sidewalk Café/Outdoor Dining Complaint,278
2021,Sidewalk Inspection Request,7881
2021,Sign Repair Request - All Other Signs,27208
2021,Sign Repair Request - Do Not Enter Sign,543
2021,Sign Repair Request - One Way Sign,1484
2021,Sign Repair Request - Stop Sign,4388
2021,Smokeless Tobacco at Sports Event Complaint,9
2021,Snow - Object/Dibs Removal Request,4620
2021,Snow Removal - Protected Bike Lane or Bridge Sidewalk,130
2021,Snow – Uncleared Sidewalk Complaint,6090
2021,Stray Animal Complaint,9099
2021,Street Cleaning Request,4758
2021,Street Light On During Day Complaint,1136
2021,Street Light Out Complaint,48420
2021,Street Light Pole Damage Complaint,5458
2021,Street Light Pole Door Missing Complaint,747
2021,Tobacco - General Complaint,178
2021,Tobacco - Sale to Minors Complaint,92
2021,Traffic Signal Out Complaint,21399
2021,Tree Debris Clean-Up Request,23950
2021,Tree Emergency,17063
2021,Tree Planting Request,5694
2021,Tree Removal Inspection,16044
2021,Tree Trim Request (NO LONGER BEING ACCEPTED),32986
2021,Vacant/Abandoned Building Complaint,5982
2021,Vehicle Parked in Bike Lane Complaint,1800
2021,Viaduct Light Out Complaint,571
2021,Vicious Animal Complaint,5622
2021,Wage Complaint,196
2021,Water Lead Test Kit Request,11616
2021,Water Lead Test Visit Request,911
2021,Water On Street Complaint,5808
2021,Water Quality Concern,795
2021,Water in Basement Complaint,4174
2021,Weed Removal Request,29174
2021,Wire Basket Request,1037
2021,Yard Waste Pick-Up Request,9874
2022,311 INFORMATION ONLY CALL,633431
2022,Abandoned Vehicle Complaint,44859
2022,Aircraft Noise Complaint,325772
2022,Alley Light Out Complaint,7257
2022,Alley Pothole Complaint,10357
2022,Alley Sewer Inspection Request,1467
2022,Animal In Trap Complaint,247
2022,Bee/Wasp Removal,575
2022,Bicycle Request/Complaint,924
2022,Blue Recycling Cart,16800
2022,Building Violation,21517
2022,Buildings - Plumbing Violation,8246
2022,Bungalow/Vintage Home Information Request,95
2022,Business Complaints,2389
2022,Cab Feedback,2750
2022,Cable TV Complaint,426
2022,Check for Leak,10352
2022,City Vehicle Sticker Violation,3056
2022,Clean Vacant Lot Request,5622
2022,Clean and Green Program Request,338
2022,Commercial Fire Safety Inspection Request,246
2022,Consumer Fraud Complaint,1249
2022,Consumer Retail Business Complaint,701
2022,Coyote Interaction Complaint,1384
2022,Dead Animal Pick-Up Request,12749
2022,Dead Bird,661
2022,Divvy Bike Parking Complaint,1593
2022,E-Scooter Parking Complaint,821
2022,Fly Dumping Complaint,11734
2022,Garbage Cart Maintenance,44622
2022,Graffiti Removal Request,91664
2022,Home Buyer Program Info Request,573
2022,Ice and Snow Removal Request,10688
2022,Inaccurate Fuel Pump Complaint,130
2022,Inaccurate Retail Scales Complaint,6
2022,Inspect Public Way Request,7410
2022,Lead Inspection Request,286
2022,Licensed Pharmaceutical Representative Complaint,6
2022,Liquor Establishment Complaint,642
2022,Low Water Pressure Complaint,1901
2022,Missed Garbage Pick-Up Complaint,7048
2022,No Air Conditioning,159
2022,No Building Permit and Construction Violation,5024
2022,No Solicitation Complaint,54
2022,No Water Complaint,4308
2022,Nuisance Animal Complaint,5716
2022,Open Fire Hydrant Complaint,6265
2022,Outdated Merchandise Complaint,67
2022,Paid Sick Leave Violation,138
2022,Pavement Cave-In Inspection Request,30
2022,Pet Wellness Check Request,2887
2022,Porch Inspection Request,660
2022,Pothole in Street Complaint,64138
2022,Protected Bike Lane - Debris Removal,246
2022,Public Vehicle Complaint,261
2022,Pushcart Food Vendor Complaint,146
2022,Recycling Inspection Request,338
2022,Recycling Pick Up,6051
2022,Renters and Foreclosure Complaint,45
2022,Report an Injured Animal,7795
2022,Restaurant Complaint,2791
2022,Ridesharing Complaint,120
2022,Rodent Baiting/Rat Complaint,50201
2022,Sanitation Code Violation,14066
2022,Sewer Cave-In Inspection Request,6110
2022,Sewer Cleaning Inspection Request,8920
2022,Shared Cost Sidewalk Program Request,2055
2022,Shared Housing/Vacation Rental Complaint,272
2022,Sidewalk Café/Outdoor Dining Complaint,292
2022,Sidewalk Inspection Request,8031
2022,Sign Repair Request - All Other Signs,14630
2022,Sign Repair Request - Do Not Enter Sign,702
2022,Sign Repair Request - One Way Sign,2509
2022,Sign Repair Request - Stop Sign,5422
2022,Smokeless Tobacco at Sports Event Complaint,2
2022,Snow - Object/Dibs Removal Request,6300
2022,Snow Removal - Protected Bike Lane or Bridge Sidewalk,211
2022,Snow – Uncleared Sidewalk Complaint,6807
2022,Stray Animal Complaint,11388
2022,Street Cleaning Request,4746
2022,Street Light On During Day Complaint,706
2022,Street Light Out Complaint,48538
2022,Street Light Pole Damage Complaint,4843
2022,Street Light Pole Door Missing Complaint,655
2022,Tobacco - General Complaint,212
2022,Tobacco - Sale to Minors Complaint,149
2022,Traffic Signal Out Complaint,24177
2022,Tree Debris Clean-Up Request,24289
2022,Tree Emergency,14077
2022,Tree Planting Request,15694
2022,Tree Removal Inspection,15993
2022,Tree Trim Request (NO LONGER BEING ACCEPTED),27956
2022,Vacant/Abandoned Building Complaint,6097
2022,Vehicle Parked in Bike Lane Complaint,3200
2022,Viaduct Light Out Complaint,308
2022,Vicious Animal Complaint,6490
2022,Wage Complaint,243
2022,Water Lead Test Kit Request,8098
2022,Water Lead Test Visit Request,1458
2022,Water On Street Complaint,8212
2022,Water Quality Concern,662
2022,Water in Basement Complaint,7404
2022,Weed Removal Request,9843
2022,Wire Basket Request,1176
2022,Yard Waste Pick-Up Request,10881
2023,311 INFORMATION ONLY CALL,659021
2023,Abandoned Vehicle Complaint,44953
2023,Aircraft Noise Complaint,308218
2023,Alley Light Out Complaint,8184
2023,Alley Pothole Complaint,10181
2023,Alley Sewer Inspection Request,1456
2023,Animal In Trap Complaint,278
2023,Bee/Wasp Removal,742
2023,Bicycle Request/Complaint,808
2023,Blue Recycling Cart,18612
2023,Building Violation,27701
2023,Buildings - Plumbing Violation,7534
2023,Bungalow/Vintage Home Information Request,126
2023,Business Complaints,2668
2023,Cab Feedback,3394
2023,Cable TV Complaint,325
2023,Check for Leak,8741
2023,City Vehicle Sticker Violation,4102
2023,Clean Vacant Lot Request,4978
2023,Clean and Green Program Request,313
2023,Commercial Fire Safety Inspection Request,256
2023,Consumer Fraud Complaint,1327
2023,Consumer Retail Business Complaint,743
2023,Coyote Interaction Complaint,1164
2023,Dead Animal Pick-Up Request,14228
2023,Dead Bird,715
2023,Divvy Bike Parking Complaint,1251
2023,E-Scooter Parking Complaint,1499
2023,Fly Dumping Complaint,12050
2023,Garbage Cart Maintenance,47187
2023,Graffiti Removal Request,85835
2023,Home Buyer Program Info Request,253
2023,Ice and Snow Removal Request,717
2023,Inaccurate Fuel Pump Complaint,62
2023,Inaccurate Retail Scales Complaint,6
2023,Inspect Public Way Request,7338
2023,Lead Inspection Request,324
2023,Licensed Pharmaceutical Representative Complaint,18
2023,Liquor Establishment Complaint,297
2023,Low Water Pressure Complaint,2036
2023,Missed Garbage Pick-Up Complaint,7595
2023,No Air Conditioning,397
2023,No Building Permit and Construction Violation,5456
2023,No Solicitation Complaint,86
2023,No Water Complaint,3098
2023,Nuisance Animal Complaint,6071
2023,Open Fire Hydrant Complaint,7324
2023,Outdated Merchandise Complaint,67
2023,Paid Sick Leave Violation,96
2023,Pavement Cave-In Inspection Request,28
2023,Pet Wellness Check Request,3182
2023,Porch Inspection Request,516
2023,Pothole in Street Complaint,49066
2023,Protected Bike Lane - Debris Removal,301
2023,Public Vehicle Complaint,369
2023,Pushcart Food Vendor Complaint,244
2023,Recycling Inspection Request,230
2023,Recycling Pick Up,3953
2023,Renters and Foreclosure Complaint,57
2023,Report an Injured Animal,8191
2023,Restaurant Complaint,2979
