sr_type,n_obs,mean,median,std,p75,p90,p95,p99,max
Abandoned Vehicle Complaint,24178,11.139786730841044,9.0,10.541457493107663,16.0,24.0,30.0,47.0,479.0
Blue Recycling Cart,24178,4.952118169370565,4.0,4.856713471205412,7.0,11.0,14.0,22.0,84.0
Building Violation,24178,5.361105348325796,4.0,41.02156921773238,7.0,11.0,15.0,25.0,6320.0
Garbage Cart Maintenance,24178,12.579146093523091,10.0,11.033499121125434,18.0,27.0,34.0,49.0,135.0
Graffiti Removal Request,24178,23.773909796274012,9.0,35.22853958696984,33.0,66.0,94.0,156.0,689.0
Pothole in Street Complaint,24178,11.842122733496536,7.0,14.306656717471586,15.0,27.0,38.0,67.0,533.0
Rodent Baiting/Rat Complaint,24178,12.78594249201278,8.0,14.437029782274678,18.0,31.0,41.0,66.0,170.0
Street Light Out Complaint,24178,11.633251732293266,8.0,12.006031181570881,16.0,26.0,34.0,57.0,156.0
Traffic Signal Out Complaint,24178,5.988008796315506,4.0,7.630810919699477,8.0,14.0,20.0,35.0,170.0
Tree Debris Clean-Up Request,24178,6.936102236421725,3.0,14.376334284017355,8.0,17.0,25.0,49.0,618.0
