sr_type,total_count,years_present,unique_wards,unique_community_areas,missing_lat_pct,missing_lon_pct,unique_departments,statuses,cv,geo_completeness,suitability_score
311 INFORMATION ONLY CALL,4184158,6,50,77,0.00848438323791788,0.00848438323791788,1,{'Completed': 4184158},0.11715235702037864,99.99151561676209,5.2623169234981715
Aircraft Noise Complaint,1918574,6,47,58,0.013603853695505099,0.013603853695505099,1,{'Completed': 1918574},0.11291507822232363,99.9863961463045,5.0228160706811655
Graffiti Removal Request,576163,6,50,77,0.3747203482347877,0.3747203482347877,1,"{'Completed': 572425, 'Canceled': 2389, 'Open': 1349}",0.08781263468315723,99.62527965176521,4.669900942421703
Garbage Cart Maintenance,303778,6,50,77,0.030943649638881028,0.030943649638881028,1,"{'Completed': 299476, 'Canceled': 3999, 'Open': 303}",0.09668406388450002,99.96905635036111,4.477501900836284
Rodent Baiting/Rat Complaint,308726,6,50,77,0.06866930546827932,0.06866930546827932,1,"{'Completed': 308657, 'Canceled': 64, 'Open': 5}",0.15315742337663305,99.93133069453172,4.47664505477085
Pothole in Street Complaint,287700,6,50,77,0.2805005213764338,0.2805005213764338,1,"{'Completed': 287084, 'Canceled': 329, 'Open': 287}",0.19485192203650695,99.71949947862356,4.450997164627231
Street Light Out Complaint,282239,6,50,77,0.09105757886046932,0.09105757886046932,1,"{'Completed': 280522, 'Open': 1110, 'Canceled': 607}",0.2889867056701483,99.90894242113953,4.4361186586048635
Abandoned Vehicle Complaint,269189,6,50,77,0.07169683753793803,0.07169683753793803,1,"{'Completed': 261530, 'Open': 7023, 'Canceled': 636}",0.1519396727185331,99.92830316246206,4.435650306159903
Tree Trim Request (NO LONGER BEING ACCEPTED),225630,6,50,77,0.05141160306696804,0.05141160306696804,1,"{'Completed': 225012, 'Canceled': 589, 'Open': 29}",0.15991993586466569,99.94858839693303,4.381927749162978
Tree Debris Clean-Up Request,167420,6,50,77,0.09795723330545932,0.09795723330545932,1,"{'Completed': 155782, 'Canceled': 11619, 'Open': 19}",0.18264702840180022,99.90204276669454,4.290068424469333
Traffic Signal Out Complaint,145575,6,50,77,0.23905203503348788,0.23905203503348788,1,"{'Completed': 140370, 'Open': 2613, 'Canceled': 2592}",0.11465078639866545,99.76094796496652,4.254712413105507
Building Violation,129510,6,50,77,0.049417033433711684,0.049417033433711684,1,"{'Completed': 129499, 'Open': 8, 'Canceled': 3}",0.14848489209729138,99.95058296656629,4.216533714819909
Blue Recycling Cart,119594,6,50,77,0.026757195177015573,0.026757195177015573,1,"{'Completed': 116407, 'Canceled': 3065, 'Open': 122}",0.09479299087823027,99.97324280482299,4.198040459200823
Tree Emergency,124685,6,50,77,0.15318602879255724,0.15318602879255724,1,"{'Completed': 122211, 'Canceled': 2272, 'Open': 202}",0.32345377164958883,99.84681397120744,4.187491000567483
Tree Removal Inspection,106462,6,50,77,0.04508650974056471,0.04508650974056471,1,"{'Completed': 92907, 'Canceled': 9873, 'Open': 3682}",0.11325109914229753,99.95491349025943,4.161273096099463
Sign Repair Request - All Other Signs,116383,6,50,77,0.32564893498191316,0.32564893498191316,1,"{'Completed': 111874, 'Open': 2272, 'Canceled': 2237}",0.42466763676685576,99.67435106501809,4.156439867256855
Weed Removal Request,117820,6,50,77,0.12816160244440672,0.12816160244440672,1,"{'Completed': 117702, 'Canceled': 110, 'Open': 8}",0.9429919999169832,99.87183839755559,4.108585098373535
Sanitation Code Violation,88689,6,50,77,0.054121706186787535,0.054121706186787535,1,"{'Completed': 88426, 'Canceled': 208, 'Open': 55}",0.12939476461606672,99.94587829381321,4.104850067690262
Dead Animal Pick-Up Request,85728,6,50,77,0.11781448301605077,0.11781448301605077,1,"{'Completed': 85693, 'Canceled': 35}",0.13860890898738645,99.88218551698395,4.093646318499717
Fly Dumping Complaint,73638,6,50,77,0.055677775061788747,0.055677775061788747,1,"{'Completed': 73497, 'Canceled': 82, 'Open': 59}",0.13199521582264725,99.9443222249382,4.048795978458691
Yard Waste Pick-Up Request,75627,6,50,77,0.03702381424623481,0.03702381424623481,1,"{'Completed': 75567, 'Canceled': 57, 'Open': 3}",0.21977560122855283,99.96297618575376,4.048041463346121
Stray Animal Complaint,69047,6,50,77,0.12744941851202804,0.12744941851202804,1,"{'Completed': 40231, 'Canceled': 28784, 'Open': 32}",0.1607868374434519,99.87255058148797,4.026497300297735
Tree Planting Request,77800,6,50,77,0.05012853470437018,0.05012853470437018,1,"{'Completed': 58274, 'Open': 19492, 'Canceled': 33, 'Closed': 1}",0.526437589566757,99.94987146529563,4.025853917307562
Water Lead Test Kit Request,65635,6,50,77,0.10207968309590919,0.10207968309590919,1,"{'Open': 36513, 'Completed': 23197, 'Canceled': 5925}",0.3632141841118645,99.89792031690409,3.9910893435326824
Check for Leak,59182,6,50,77,0.16728059207191376,0.16728059207191376,1,"{'Completed': 49912, 'Canceled': 8938, 'Open': 332}",0.10028690240465765,99.83271940792808,3.9862372741127223
Sewer Cleaning Inspection Request,58394,6,50,77,0.2466006781518649,0.2466006781518649,1,"{'Completed': 52772, 'Canceled': 5427, 'Open': 195}",0.15044349096062842,99.75339932184814,3.977081414500509
Alley Pothole Complaint,55204,6,50,77,0.13404825737265416,0.13404825737265416,1,"{'Completed': 55142, 'Open': 38, 'Canceled': 24}",0.12241225238506559,99.86595174262735,3.9632003447374053
Water On Street Complaint,55445,6,50,77,0.1298584182523221,0.1298584182523221,1,"{'Completed': 49955, 'Canceled': 5197, 'Open': 293}",0.23127335481977307,99.87014158174767,3.9536273328254725
Report an Injured Animal,50922,6,50,77,0.1080083264600762,0.1080083264600762,1,"{'Completed': 45744, 'Canceled': 5174, 'Open': 4}",0.11466710695644085,99.89199167353992,3.9397922668794005
Missed Garbage Pick-Up Complaint,50659,6,50,77,0.03158372648492864,0.03158372648492864,1,"{'Completed': 50494, 'Canceled': 148, 'Open': 17}",0.18478803706282795,99.96841627351507,3.93134139777069
Sidewalk Inspection Request,49564,6,50,77,0.060527802437252844,0.060527802437252844,1,"{'Completed': 39253, 'Open': 9519, 'Canceled': 792}",0.16972072938042843,99.93947219756275,3.9262492008984005
Water in Basement Complaint,58741,6,50,77,0.035750157470931715,0.035750157470931715,1,"{'Completed': 54481, 'Canceled': 4192, 'Open': 68}",0.6923689430572474,99.96424984252907,3.924982556214559
Alley Light Out Complaint,53808,6,50,77,0.03531073446327684,0.03531073446327684,1,"{'Completed': 53709, 'Canceled': 66, 'Open': 33}",0.4561395306826989,99.96468926553672,3.922291886351369
Inspect Public Way Request,45513,6,50,77,0.12523894271966252,0.12523894271966252,1,"{'Completed': 43158, 'Open': 2246, 'Canceled': 109}",0.08526289666318829,99.87476105728034,3.9090184268953507
Buildings - Plumbing Violation,45131,6,50,77,0.03545234982606191,0.03545234982606191,1,"{'Completed': 43219, 'Canceled': 1837, 'Open': 75}",0.14683033707773724,99.96454765017394,3.9004678302449878
Open Fire Hydrant Complaint,42411,6,50,77,0.1674093985051048,0.1674093985051048,1,"{'Completed': 36053, 'Canceled': 6312, 'Open': 46}",0.07592585917812746,99.8325906014949,3.8887122859981362
Vicious Animal Complaint,38117,6,50,77,0.07083453577144055,0.07083453577144055,1,"{'Completed': 35533, 'Canceled': 2582, 'Open': 2}",0.08671872097089006,99.92916546422856,3.8557544432476303
Vacant/Abandoned Building Complaint,35082,6,50,77,0.06556068639188187,0.06556068639188187,1,"{'Completed': 35078, 'Open': 4}",0.07043109904118765,99.93443931360812,3.832500137559413
Recycling Pick Up,39326,6,50,77,0.030514163657631085,0.030514163657631085,1,"{'Completed': 39316, 'Open': 6, 'Canceled': 4}",0.4310049699613016,99.96948583634237,3.830753707218159
Nuisance Animal Complaint,34402,6,50,77,0.058136154874716586,0.058136154874716586,1,"{'Completed': 31290, 'Canceled': 3102, 'Open': 10}",0.09997610846220593,99.94186384512528,3.823684899579859
Street Cleaning Request,31922,6,50,77,0.09711170979261952,0.09711170979261952,1,"{'Completed': 31633, 'Canceled': 243, 'Open': 46}",0.12949193327137692,99.90288829020739,3.798229748741126
No Building Permit and Construction Violation,30678,6,50,77,0.05541430340960948,0.05541430340960948,1,"{'Completed': 27701, 'Open': 2977}",0.06369337850111828,99.9445856965904,3.792947638822531
Clean Vacant Lot Request,31000,6,50,77,0.08387096774193549,0.08387096774193549,1,"{'Completed': 30932, 'Canceled': 42, 'Open': 26}",0.10534841850734127,99.91612903225807,3.791871774001109
Ice and Snow Removal Request,41867,6,50,77,0.20063534525998997,0.20063534525998997,1,"{'Completed': 41864, 'Open': 2, 'Canceled': 1}",1.0269603438370398,99.79936465474,3.7896861398908386
Sewer Cave-In Inspection Request,30495,6,50,77,0.4328578455484506,0.4328578455484506,1,"{'Completed': 26950, 'Canceled': 3285, 'Open': 260}",0.12283687719982067,99.56714215445155,3.7846722674478737
Sign Repair Request - Stop Sign,29437,6,50,77,0.1800455209430309,0.1800455209430309,1,"{'Completed': 29244, 'Open': 180, 'Canceled': 13}",0.08433458947979473,99.81995447905697,3.778308963496366
Street Light Pole Damage Complaint,28306,6,50,77,0.2508302126757578,0.2508302126757578,1,"{'Completed': 26445, 'Open': 1492, 'Canceled': 369}",0.08872339390895671,99.74916978732425,3.7660107361507085
Snow – Uncleared Sidewalk Complaint,30457,6,50,77,0.0361164921036215,0.0361164921036215,1,"{'Completed': 29280, 'Canceled': 1089, 'Open': 88}",0.6500715867739267,99.96388350789638,3.732169855907942
Business Complaints,29269,6,50,77,0.07174826608356964,0.07174826608356964,1,"{'Completed': 29227, 'Open': 39, 'Canceled': 3}",0.8754980723951161,99.92825173391643,3.697638084267142
No Water Complaint,22842,6,50,77,0.052534804307853955,0.052534804307853955,1,"{'Completed': 15186, 'Canceled': 7630, 'Open': 26}",0.17495414986597013,99.94746519569215,3.693345783903702
City Vehicle Sticker Violation,20680,6,50,77,0.08220502901353965,0.08220502901353965,1,{'Completed': 20680},0.3811320727232319,99.91779497098646,3.642854690189959
Pet Wellness Check Request,18705,6,50,77,0.06415396952686447,0.06415396952686447,1,"{'Completed': 15669, 'Canceled': 2972, 'Open': 64}",0.14080879274091634,99.93584603047313,3.636802771869967
Restaurant Complaint,16923,6,50,76,0.135909708680494,0.135909708680494,1,"{'Completed': 14629, 'Canceled': 2291, 'Open': 3}",0.08614187765737147,99.8640902913195,3.6121283512232294
Cab Feedback,17506,6,50,77,1.0967668228036103,1.0967668228036103,1,"{'Completed': 14145, 'Canceled': 3351, 'Open': 10}",0.40381644934144884,98.90323317719638,3.589080028811529
Shared Cost Sidewalk Program Request,13710,6,50,77,0.08023340627279359,0.08023340627279359,1,"{'Completed': 9131, 'Open': 4510, 'Canceled': 69}",0.15801390265598686,99.9197665937272,3.5418643724319887
Sign Repair Request - One Way Sign,13581,6,50,77,0.11781164862675797,0.11781164862675797,1,"{'Completed': 13570, 'Open': 6, 'Canceled': 5}",0.19454152918174747,99.88218835137324,3.5353193293110063
Low Water Pressure Complaint,12300,6,50,77,0.04065040650406504,0.04065040650406504,1,"{'Completed': 9742, 'Canceled': 2516, 'Open': 42}",0.08394780395823984,99.95934959349593,3.5167749956550556
Snow - Object/Dibs Removal Request,15103,6,50,76,0.05959080977289281,0.05959080977289281,1,"{'Completed': 15078, 'Canceled': 20, 'Open': 5}",0.9612151562507026,99.9404091902271,3.490603564675855
Coyote Interaction Complaint,9778,6,50,77,0.22499488647985275,0.22499488647985275,1,"{'Completed': 8938, 'Canceled': 840}",0.35987595524792243,99.77500511352015,3.4200726646391706
Alley Sewer Inspection Request,8663,6,50,77,0.1616068336603948,0.1616068336603948,1,"{'Completed': 7370, 'Canceled': 1223, 'Open': 70}",0.09114100865322708,99.8383931663396,3.4107230254884344
Consumer Fraud Complaint,8002,6,50,77,0.28742814296425895,0.28742814296425895,1,"{'Completed': 7943, 'Open': 34, 'Canceled': 25}",0.11014199295677418,99.71257185703574,3.3848261835999898
E-Scooter Parking Complaint,13520,4,50,77,0.07396449704142012,0.07396449704142012,1,"{'Completed': 13479, 'Canceled': 40, 'Open': 1}",0.9014000382038334,99.92603550295858,3.3800155095083486
Water Lead Test Visit Request,9070,6,50,77,0.02205071664829107,0.02205071664829107,1,"{'Completed': 5134, 'Canceled': 2452, 'Open': 1484}",0.6289899573216048,99.9779492833517,3.3709192653773505
Vehicle Parked in Bike Lane Complaint,9257,5,50,71,0.0,0.0,2,{'Completed': 9257},0.5365154676055084,100.0,3.3446547830501476
Divvy Bike Parking Complaint,7863,6,50,77,0.06358896095637798,0.06358896095637798,1,"{'Completed': 7811, 'Canceled': 51, 'Open': 1}",0.5667381718714194,99.93641103904362,3.3342459979195245
Wire Basket Request,6796,6,50,76,0.13243084167157151,0.13243084167157151,1,"{'Completed': 6772, 'Canceled': 15, 'Open': 9}",0.15921951458371209,99.86756915832842,3.331150387483113
