period,total_rows,positive_targets,negative_targets,positive_rate,sr_type
TRAIN,160160,143222,16938,0.8942,
TRAIN,16016,15168,848,0.9471,Abandoned Vehicle Complaint
TRAIN,16016,13989,2027,0.8734,Blue Recycling Cart
TRAIN,16016,14036,1980,0.8764,Building Violation
TRAIN,16016,15329,687,0.9571,Garbage Cart Maintenance
TRAIN,16016,13427,2589,0.8383,Graffiti Removal Request
TRAIN,16016,15072,944,0.9411,Pothole in Street Complaint
TRAIN,16016,14676,1340,0.9163,Rodent Baiting/Rat Complaint
TRAIN,16016,15175,841,0.9475,Street Light Out Complaint
TRAIN,16016,13747,2269,0.8583,Traffic Signal Out Complaint
TRAIN,16016,12603,3413,0.7869,Tree Debris Clean-Up Request
VALIDATION,40810,36904,3906,0.9043,
VALIDATION,4081,3916,165,0.9596,Abandoned Vehicle Complaint
VALIDATION,4081,3598,483,0.8816,Blue Recycling Cart
VALIDATION,4081,3589,492,0.8794,Building Violation
VALIDATION,4081,3904,177,0.9566,Garbage Cart Maintenance
VALIDATION,4081,3492,589,0.8557,Graffiti Removal Request
VALIDATION,4081,3852,229,0.9439,Pothole in Street Complaint
VALIDATION,4081,3757,324,0.9206,Rodent Baiting/Rat Complaint
VALIDATION,4081,3803,278,0.9319,Street Light Out Complaint
VALIDATION,4081,3608,473,0.8841,Traffic Signal Out Complaint
VALIDATION,4081,3385,696,0.8295,Tree Debris Clean-Up Request
TEST,39270,35336,3934,0.8998,
TEST,3927,3787,140,0.9643,Abandoned Vehicle Complaint
TEST,3927,3473,454,0.8844,Blue Recycling Cart
TEST,3927,3411,516,0.8686,Building Violation
TEST,3927,3780,147,0.9626,Garbage Cart Maintenance
TEST,3927,3372,555,0.8587,Graffiti Removal Request
TEST,3927,3659,268,0.9318,Pothole in Street Complaint
TEST,3927,3565,362,0.9078,Rodent Baiting/Rat Complaint
TEST,3927,3666,261,0.9335,Street Light Out Complaint
TEST,3927,3472,455,0.8841,Traffic Signal Out Complaint
TEST,3927,3151,776,0.8024,Tree Debris Clean-Up Request
