budget,exploration_ratio,precision_mean,precision_std,recall_mean,recall_std,discovery_rate_mean,discovery_rate_std,low_risk_mean,low_risk_std,coverage_mean,coverage_std
10%,0%,0.09727527374586198,0.0,0.04178059717816909,0.0,0.04178059717816909,0.0,0.0,0.0,0.42144130379424505,0.0
10%,10%,0.10956200662083015,0.0020198631753316014,0.04705785847096139,0.000867549238710184,0.04705785847096139,0.000867549238710184,62.0,6.683312551921141,0.4539088362617774,0.0028318185752673657
10%,15%,0.1193659281894576,0.001321142722712283,0.051268730176091,0.0005674425759697182,0.051268730176091,0.0005674425759697182,105.0,10.03327796219494,0.46651387827858415,0.0013947607779607007
10%,20%,0.12802393684746627,0.002154492852304063,0.05498742207153014,0.0009253738850484523,0.05498742207153014,0.0009253738850484523,142.0,6.480740698407864,0.48192004074357014,0.003381475984558584
10%,30%,0.13967405143875733,0.004034372171569854,0.05999125013671661,0.0017327988097730325,0.05999125013671661,0.0017327988097730325,201.75,9.178779875342912,0.5051566080977845,0.004873353503693564
10%,5%,0.10383244206773619,0.0013693460491385784,0.04459695942250902,0.0005881463343505664,0.04459695942250902,0.0005881463343505664,36.25,2.06155281280883,0.435510567863509,0.0016939310791507084
20%,0%,0.11191749427043544,0.0,0.09613912282620585,0.0,0.09613912282620585,0.0,0.0,0.0,0.6684491978609626,0.0
20%,10%,0.12458619811560988,0.0006697111381911365,0.10702176528491743,0.0005752938072135167,0.10702176528491743,0.0005752938072135167,158.5,12.233832869001711,0.7139674051438758,0.001852402414293637
20%,15%,0.13085688820982938,0.0014752521296481338,0.11240839986875205,0.0012672678799361785,0.11240839986875205,0.0012672678799361785,230.0,19.629909152447276,0.7346574993633818,0.005449690491222999
20%,20%,0.13623631270690095,0.002350032798558214,0.11702942141529038,0.002018720069985363,0.11702942141529038,0.002018720069985363,289.75,16.296727687892854,0.7531830914183855,0.003406155712967218
20%,30%,0.14785459638400816,0.0025345084335872793,0.12700973422290276,0.0021771879292786255,0.12700973422290276,0.0021771879292786255,428.25,15.478479684172266,0.7792207792207791,0.0031600900550013983
20%,5%,0.11949325184619303,0.0014044132168554708,0.10264683364322433,0.0012064159909420207,0.10264683364322433,0.0012064159909420207,82.25,10.594810050208547,0.6925770308123249,0.001145912910618782
5%,0%,0.08496732026143791,0.0,0.018484086186153343,0.0,0.018484086186153343,0.0,0.0,0.0,0.23605805958747134,0.0
5%,10%,0.10231271995977878,0.007186787880808299,0.022257464727113638,0.0015634388160262178,0.022257464727113638,0.0015634388160262178,33.5,7.767453465154029,0.2535014005602241,0.0003287482680763559
5%,15%,0.10897435897435898,0.0018069263158075935,0.02370666083342448,0.00039308503140558944,0.02370666083342448,0.00039308503140558944,48.0,6.164414002968976,0.2640056022408963,0.0006366182836770851
5%,20%,0.11098541980894921,0.0048463193366587096,0.024144153997593787,0.0010542851537366474,0.024144153997593787,0.0010542851537366474,57.0,8.869423130433379,0.2734275528393175,0.0017810147914741796
5%,30%,0.12594268476621417,0.004115310594204348,0.02739800940610303,0.0008952589710021267,0.02739800940610303,0.0008952589710021267,96.0,9.309493362512628,0.29239877769289535,0.001201168975306386
5%,5%,0.09250879839115134,0.0016420242954805937,0.020124685551788254,0.0003572116727234945,0.020124685551788254,0.0003572116727234945,16.25,2.3629078131263044,0.2454800101858925,0.0016503032081507155
