exploration_ratio,verification_budget,verified_locations,actual_escalations,escalations_discovered,precision,recall,f1,discovery_rate,cost_per_discovered_escalation,unique_community_areas,community_area_coverage,top10_risk_concentration,top20_risk_concentration,low_risk_discoveries,exploration_escalations_discovered,exploration_value_score
0%,5%,1989,9143,169,0.08496732026143791,0.018484086186153343,0.03036291771469637,0.018484086186153343,11.76923076923077,32,0.4155844155844156,0.21875,0.4375,0,0,0.0
5%,5%,1989,9143,184,0.09250879839115134,0.020124685551788254,0.03305785123966942,0.020124685551788254,10.809782608695652,66,0.8571428571428571,0.10606060606060606,0.22727272727272727,18,24,0.4038
10%,5%,1989,9143,221,0.1111111111111111,0.024171497320354368,0.03970535393460294,0.024171497320354368,9.0,74,0.961038961038961,0.0945945945945946,0.20270270270270271,43,69,0.7099
15%,5%,1989,9143,216,0.1085972850678733,0.023624630865142732,0.03880704275961193,0.023624630865142732,9.208333333333334,76,0.987012987012987,0.09210526315789473,0.19736842105263158,39,73,0.6857
20%,5%,1989,9143,220,0.11060834590246355,0.024062124029312043,0.039525691699604744,0.024062124029312043,9.040909090909091,76,0.987012987012987,0.09210526315789473,0.19736842105263158,52,87,0.7347
30%,5%,1989,9143,250,0.1256913021618904,0.027343322760581865,0.04491555874955084,0.027343322760581865,7.956,77,1.0,0.09090909090909091,0.19480519480519481,97,141,1.0
0%,10%,3927,9143,382,0.09727527374586198,0.04178059717816909,0.058454475899005355,0.04178059717816909,10.280104712041885,49,0.6363636363636364,0.14285714285714285,0.30612244897959184,0,0,0.0
5%,10%,3927,9143,413,0.1051693404634581,0.04517116920048124,0.06319816373374137,0.04517116920048124,9.508474576271187,74,0.961038961038961,0.0945945945945946,0.20270270270270271,36,57,0.4431
10%,10%,3927,9143,422,0.1074611662846957,0.046155528819862186,0.06457536342769701,0.046155528819862186,9.30568720379147,76,0.987012987012987,0.09210526315789473,0.19736842105263158,58,87,0.5121
15%,10%,3927,9143,475,0.12095747389865037,0.05195231324510555,0.07268553940321346,0.05195231324510555,8.267368421052632,77,1.0,0.09090909090909091,0.19480519480519481,99,158,0.7169
20%,10%,3927,9143,492,0.1252864782276547,0.053811659192825115,0.07528691660290743,0.053811659192825115,7.9817073170731705,77,1.0,0.09090909090909091,0.19480519480519481,137,193,0.8032
30%,10%,3927,9143,536,0.13649096002037178,0.05862408399868752,0.08201989288446826,0.05862408399868752,7.326492537313433,77,1.0,0.09090909090909091,0.19480519480519481,208,286,1.0
0%,20%,7854,9143,879,0.11191749427043544,0.09613912282620585,0.10343001706183444,0.09613912282620585,8.935153583617748,61,0.7922077922077922,0.11475409836065574,0.2459016393442623,0,0,0.0
5%,20%,7854,9143,939,0.11955691367456073,0.10270152028874549,0.11049008648585044,0.10270152028874549,8.364217252396166,77,1.0,0.09090909090909091,0.19480519480519481,84,110,0.4773
10%,20%,7854,9143,978,0.12452253628724216,0.10696707863939627,0.11507913161146084,0.10696707863939627,8.030674846625766,77,1.0,0.09090909090909091,0.19480519480519481,161,214,0.5702
15%,20%,7854,9143,1027,0.13076139546727783,0.1123263699004703,0.12084485497440726,0.1123263699004703,7.6475170399221035,77,1.0,0.09090909090909091,0.19480519480519481,225,312,0.6721
20%,20%,7854,9143,1076,0.13700025464731347,0.11768566116154434,0.12661057833735365,0.11768566116154434,7.299256505576208,77,1.0,0.09090909090909091,0.19480519480519481,294,406,0.7762
30%,20%,7854,9143,1183,0.15062388591800357,0.1293886033030734,0.13920103547684887,0.1293886033030734,6.6390532544378695,77,1.0,0.09090909090909091,0.19480519480519481,437,622,1.0
