model,split,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score
Persistence,VALIDATION,0.8862288654741485,0.9372712732792974,0.9368903099934967,0.9370807529169434,0.6722341974954682,0.9351897195192312,0.11377113452585151
Persistence,TEST,0.883982683982684,0.9340836012861736,0.937202852614897,0.9356406272072326,0.6715754984986025,0.9319320545653781,0.11601731601731602
Frequency,VALIDATION,0.9042881646655232,0.9042881646655232,1.0,0.9497387858043596,0.5,0.9042881646655232,0.09571183533447684
Frequency,TEST,0.8998217468805704,0.8998217468805704,1.0,0.9472696565959843,0.5,0.8998217468805704,0.10017825311942959
LogisticRegression,VALIDATION,0.9131585395736339,0.9257274119448698,0.9828202904834165,0.953419904316282,0.901439553826654,0.9883528328793298,0.13381597518228325
LogisticRegression,TEST,0.9103641456582633,0.922815224324899,0.9825673534072901,0.9517543859649122,0.9000224829795773,0.9875533263527391,0.13276794922410676
RandomForest,VALIDATION,0.9165645675079638,0.925362521268761,0.9873726425319749,0.9553624100365753,0.9060654765928432,0.9888956323582128,0.10170856621098709
RandomForest,TEST,0.9138018843901197,0.9223752743039949,0.987293411817976,0.953730914856682,0.904150232573022,0.9880564508819625,0.10073389359811415
XGBoost,VALIDATION,0.9182063219799069,0.9290571633091318,0.9847442011706048,0.9560905024993422,0.9098865197522219,0.9893968598874834,0.05988122150301933
XGBoost,TEST,0.9158645276292335,0.9262975778546713,0.9848596332352275,0.9546813705319178,0.9086162015973549,0.9886844410913245,0.06218278035521507
