budget,assignment_policy,precision,recall,discovery_rate,total_distance,mean_distance,workload_imbalance,assigned_locations,escalations_discovered,seed
0.05,RISK_ONLY_ASSIGNMENT,0.27692307692307694,0.0962566844919786,0.00904977375565611,608.7103436916431,9.36477451833297,0.46322088451158355,65,18,42
0.05,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.27692307692307694,0.0962566844919786,0.00904977375565611,484.27629190500454,7.450404490846224,0.47851614494376293,65,18,42
0.1,RISK_ONLY_ASSIGNMENT,0.2196969696969697,0.06487695749440715,0.0073847720906544435,1278.8729939655166,9.688431772466034,0.41506158832168766,132,29,42
0.1,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.2196969696969697,0.06487695749440715,0.0073847720906544435,997.475822568162,7.556635019455773,0.34298133440835993,132,29,42
0.2,RISK_ONLY_ASSIGNMENT,0.21694915254237288,0.06948968512486428,0.008148714031066972,2989.53296344056,10.13401004556122,0.3068271114274291,295,64,42
0.2,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.21694915254237288,0.06948968512486428,0.008148714031066972,2726.0283290320517,9.240773996718818,0.32691987452912263,295,64,42
0.05,RISK_ONLY_ASSIGNMENT,0.2463768115942029,0.09090909090909091,0.008547008547008548,506.15925339159844,7.335641353501427,0.41592915496761623,69,17,123
0.05,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.2463768115942029,0.09090909090909091,0.008547008547008548,467.68850076596556,6.778094213999501,0.4254650511482208,69,17,123
0.1,RISK_ONLY_ASSIGNMENT,0.22137404580152673,0.06487695749440715,0.0073847720906544435,1176.8151611441526,8.983321840795059,0.37060410041899583,131,29,123
0.1,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.22137404580152673,0.06487695749440715,0.0073847720906544435,977.8114489974057,7.464209534331341,0.3484388083739485,131,29,123
0.2,RISK_ONLY_ASSIGNMENT,0.21107266435986158,0.06623235613463627,0.0077667430608607075,2698.674470724701,9.337973947144295,0.33461247206990175,289,61,123
0.2,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.21107266435986158,0.06623235613463627,0.0077667430608607075,2435.485406516555,8.427285143655899,0.30116677165366945,289,61,123
0.05,RISK_ONLY_ASSIGNMENT,0.25,0.0962566844919786,0.00904977375565611,726.2265437995704,10.086479774994034,0.42541742565644874,72,18,2024
0.05,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.25,0.0962566844919786,0.00904977375565611,606.7335066272908,8.426854258712373,0.5002639895923697,72,18,2024
0.1,RISK_ONLY_ASSIGNMENT,0.21232876712328766,0.06935123042505593,0.00789406671759613,1448.1034888975514,9.918517047243503,0.37193512513748744,146,31,2024
0.1,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.21232876712328766,0.06935123042505593,0.00789406671759613,1377.653294876989,9.435981471760199,0.3769178826120662,146,31,2024
0.2,RISK_ONLY_ASSIGNMENT,0.21646341463414634,0.07709011943539631,0.009039979628214923,3571.2108907840507,10.88783808165869,0.3135452387724353,328,71,2024
0.2,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.21646341463414634,0.07709011943539631,0.009039979628214923,3200.51989155327,9.757682596198995,0.29840313340540486,328,71,2024
0.05,RISK_ONLY_ASSIGNMENT,0.2345679012345679,0.10160427807486631,0.009552538964303671,721.3306278682671,8.905316393435397,0.4294655103673225,81,19,999
0.05,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.2345679012345679,0.10160427807486631,0.009552538964303671,613.9510396088307,7.579642464306552,0.40865209341025127,81,19,999
0.1,RISK_ONLY_ASSIGNMENT,0.18181818181818182,0.06263982102908278,0.0071301247771836,1543.2243080010203,10.02093706494169,0.36339878846752394,154,28,999
0.1,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.18181818181818182,0.06263982102908278,0.0071301247771836,1344.3822953627127,8.72975516469294,0.3504910545339671,154,28,999
0.2,RISK_ONLY_ASSIGNMENT,0.1918238993710692,0.06623235613463627,0.0077667430608607075,3226.9385676182374,10.147605558547916,0.2914375445190788,318,61,999
0.2,RISK_DISTANCE_WORKLOAD_ASSIGNMENT,0.1918238993710692,0.06623235613463627,0.0077667430608607075,2949.6588554142704,9.275656778032296,0.28606640918079973,318,61,999
