model,split,k,precision_at_k,recall_at_k
Persistence,TEST,10,0.8998217468805704,1.0
Persistence,TEST,25,0.8998217468805704,1.0
Persistence,TEST,50,0.8998217468805704,1.0
Persistence,TEST,100,0.8998217468805704,1.0
Persistence,TEST,1%,0.8998217468805704,1.0
Persistence,TEST,5%,0.8998217468805704,1.0
Persistence,TEST,10%,0.8998217468805704,1.0
Frequency,TEST,10,0.8998217468805704,1.0
Frequency,TEST,25,0.8998217468805704,1.0
Frequency,TEST,50,0.8998217468805704,1.0
Frequency,TEST,100,0.8998217468805704,1.0
Frequency,TEST,1%,0.8998217468805704,1.0
Frequency,TEST,5%,0.8998217468805704,1.0
Frequency,TEST,10%,0.8998217468805704,1.0
LogisticRegression,TEST,10,0.8998217468805704,1.0
LogisticRegression,TEST,25,0.8998217468805704,1.0
LogisticRegression,TEST,50,0.8998217468805704,1.0
LogisticRegression,TEST,100,0.8998217468805704,1.0
LogisticRegression,TEST,1%,0.8998217468805704,1.0
LogisticRegression,TEST,5%,0.8998217468805704,1.0
LogisticRegression,TEST,10%,0.8998217468805704,1.0
RandomForest,TEST,10,0.8998217468805704,1.0
RandomForest,TEST,25,0.8998217468805704,1.0
RandomForest,TEST,50,0.8998217468805704,1.0
RandomForest,TEST,100,0.8998217468805704,1.0
RandomForest,TEST,1%,0.8998217468805704,1.0
RandomForest,TEST,5%,0.8998217468805704,1.0
RandomForest,TEST,10%,0.8998217468805704,1.0
XGBoost,TEST,10,0.8998217468805704,1.0
XGBoost,TEST,25,0.8998217468805704,1.0
XGBoost,TEST,50,0.8998217468805704,1.0
XGBoost,TEST,100,0.8998217468805704,1.0
XGBoost,TEST,1%,0.8998217468805704,1.0
XGBoost,TEST,5%,0.8998217468805704,1.0
XGBoost,TEST,10%,0.8998217468805704,1.0
