budget,exploration_ratio,mean_diff_recall,ci95_diff_recall,pval_recall,mean_diff_precision,ci95_diff_precision,pval_precision,mean_diff_escalations_discovered,total_diff_low_risk_discoveries,mean_diff_coverage,mean_diff_top10_concentration
5%,5%,0.001806561563704861,"[0.0007, 0.0030]",0.009585804458135738,0.007541478129713421,"[0.0025, 0.0126]",0.04451459163864263,0.29411764705882354,18,0.01094983447924624,-0.018919419689454448
5%,10%,0.0057411070306254575,"[0.0040, 0.0075]",2.9051491152449208e-06,0.026143790849673196,"[0.0181, 0.0342]",6.354271111229414e-06,1.0196078431372548,43,0.01706137000254647,-0.028055372833455012
5%,15%,0.005381329319034181,"[0.0035, 0.0071]",2.4274845649010105e-05,0.023629964806435394,"[0.0146, 0.0317]",2.6262062756833337e-05,0.9215686274509803,39,0.027756557168321868,-0.044061119268870304
5%,20%,0.0057619471319118945,"[0.0035, 0.0076]",7.140931825737858e-06,0.025641025641025637,"[0.0156, 0.0342]",1.95630654879483e-05,1.0,52,0.035650623885918,-0.059921170298804054
5%,30%,0.009794108735298733,"[0.0070, 0.0124]",6.269988721652848e-07,0.04072398190045249,"[0.0282, 0.0518]",1.7945455095923998e-06,1.588235294117647,97,0.05525846702317289,-0.08522610201964294
10%,5%,0.0032470522589514777,"[0.0015, 0.0048]",0.0012696543965784236,0.007894066717596128,"[0.0038, 0.0115]",0.0007242017233441021,0.6078431372549019,36,0.011968423733129615,-0.007732741517695486
10%,10%,0.004438250075947605,"[0.0026, 0.0063]",0.0001393374891118866,0.010185892538833714,"[0.0059, 0.0145]",0.00024622891162471764,0.7843137254901961,58,0.03361344537815125,-0.017382024489867372
10%,15%,0.010718187992587218,"[0.0080, 0.0135]",3.6649823846884757e-08,0.02368220015278838,"[0.0176, 0.0298]",6.705057327183972e-08,1.8235294117647058,99,0.0458365164247517,-0.023243370683613762
10%,20%,0.012741432379269769,"[0.0093, 0.0161]",7.681040918485001e-08,0.028011204481792718,"[0.0211, 0.0346]",3.82029145246522e-08,2.156862745098039,137,0.060351413292589744,-0.029468283194254884
10%,30%,0.017785116692589125,"[0.0140, 0.0219]",7.051696837651142e-08,0.039215686274509796,"[0.0298, 0.0491]",1.253184814229411e-07,3.019607843137255,208,0.09014514896867834,-0.04194102665517069
20%,5%,0.006443998504861575,"[0.0043, 0.0088]",1.10622168154887e-05,0.007639419404125286,"[0.0050, 0.0104]",3.7759140585008975e-05,1.1764705882352942,84,0.02470078940667177,-0.004756002392542934
20%,10%,0.011798424758658334,"[0.0083, 0.0155]",7.952339196477404e-07,0.012605042016806721,"[0.0088, 0.0166]",4.72571374265018e-07,1.9411764705882353,161,0.04379933791698499,-0.00824316458204909
20%,15%,0.017331884913545908,"[0.0137, 0.0212]",1.1575889954805009e-08,0.01884390119684237,"[0.0146, 0.0232]",2.5331459147985733e-08,2.9019607843137254,225,0.06850012732365676,-0.012577602689679446
20%,20%,0.022833280332111565,"[0.0177, 0.0280]",1.6893096752871784e-08,0.02508276037687802,"[0.0190, 0.0313]",3.663905960431582e-08,3.8627450980392157,294,0.08836261777438248,-0.015858921041552756
20%,30%,0.03588950457160334,"[0.0301, 0.0417]",1.7104272908725732e-09,0.03870639164756812,"[0.0325, 0.0449]",2.0806196376509653e-09,5.96078431372549,437,0.11153552330022921,-0.01940286986822711
